Column1,Column10,PL
GBC_NPC_INSPECTORDEFEAT_REPEAT_#1_232_M,[t:0.5]Again[w:0.3] you have pulled me from my work.,"[T: 0,5] Znowu [W: 0.3] Wyciągnąłeś mnie z mojej pracy."
GBC_NPC_INSPECTORDEFEAT_REPEAT_#1_232_F,,#VALUE!
GBC_NPC_INSPECTORDEFEAT_REPEAT_#1_139_M,[t:0.5]Many bots have now passed uninspected.,"[T: 0,5] Wiele botów minęło teraz niezadowolone."
GBC_NPC_INSPECTORDEFEAT_REPEAT_#1_139_F,,#VALUE!
GBC_NPC_INSPECTORDEFEAT_REPEAT_#1_312_M,[t:0.5]I fear P03 will[w:0.3] actually[w:0.3] have something to complain about now.,"[T: 0,5] Obawiam się, że p03 [w: 0,3] właściwie [w: 0,3] będzie miał teraz narzekać."
GBC_NPC_INSPECTORDEFEAT_REPEAT_#1_312_F,,#VALUE!
GBC_NPC_INSPECTORVICTORY_039_M,[t:0.5]Oh dear.[w:0.3] Your message from P03 must indeed be genuine.,"[T: 0,5] Och, kochanie. [W: 0.3] Twoja wiadomość od P03 musi być rzeczywiście autentyczna."
GBC_NPC_INSPECTORVICTORY_039_F,,#VALUE!
GBC_NPC_INSPECTORVICTORY_006_M,"[t:0.5]As I mentioned,[w:0.3] I am a mere inspector.[w:0.3] Not an engineer,[w:0.3] not a designer.","[T: 0,5] Jak wspomniałem, [w: 0,3] Jestem zwykłym inspektorem. [w: 0,3] nie inżynierem, [w: 0,3] nie projektantem."
GBC_NPC_INSPECTORVICTORY_006_F,,#VALUE!
GBC_NPC_INSPECTORVICTORY_220_M,[t:0.5]I cannot send new bots down the line.[w:0.3] But I...[w:0.3] I can send myself.,"[T: 0,5] Nie mogę wysłać nowych botów na linii. [W: 0,3] Ale ja ... [w: 0,3] Mogę się wysłać."
GBC_NPC_INSPECTORVICTORY_220_F,,#VALUE!
GBC_NPC_INSPECTORVICTORY_002_M,"[t:0.5]I am proud to have served P03 faithfully.[w:0.3] Well met,[w:0.3] stranger.","[T: 0,5] Jestem dumny z tego, że wiernie służyłem p03. [W: 0,3] Dobrze MET, [w: 0,3] nieznajomy."
GBC_NPC_INSPECTORVICTORY_002_F,"[t:0.5]I am proud to have served P03 faithfully.[w:0.3] Well met,[w:0.3] stranger.","[T: 0,5] Jestem dumny z tego, że wiernie służyłem p03. [W: 0,3] Dobrze MET, [w: 0,3] nieznajomy."
GBC_NPC_SMELTERGREETING_659_M,[t:0.5][e:Surprise][c:R]LET ME OUT[shake:1][end],"[T: 0,5] [E: niespodzianka] [C: R] Let Me Out [Shake: 1] [End]"
GBC_NPC_SMELTERGREETING_659_F,,#VALUE!
GBC_NPC_SMELTERGREETING_468_M,HA[w:0.2] HA[w:0.3] HAAAA[w:0.2]A[w:0.2]A[w:0.4]a...[w:0.4] What was that?,"Ha [w: 0,2] ha [w: 0,3] haaaa [w: 0,2] a [w: 0,2] a [w: 0,4] a ... [w: 0,4] Co to było?"
GBC_NPC_SMELTERGREETING_468_F,,#VALUE!
GBC_NPC_SMELTERGREETING_537_M,"We are-[w:0.3][shake:0.8] I[w:0.3] am The Melter.[w:0.3] They send me raw materials and[w:0.3] I-[w:0.3] well,[w:0.2] you can see how it works.","Jesteśmy- [w: 0,3] [Shake: 0,8] i [w: 0,3] am topnik. [W: 0,3] wysyłają mi surowce i [w: 0,3] i- [w: 0,3] cóż, [w : 0.2] Możesz zobaczyć, jak to działa."
GBC_NPC_SMELTERGREETING_537_F,,#VALUE!
GBC_NPC_SMELTERGREETING_781_M,Not another[w:0.3] WORD[w:0.3] out of you![w:0.3] We[w:0.3][shake:0.8] must[w:0.2] have a card battle.,"Nie inne [w: 0,3] słowo [w: 0,3] z ciebie! [W: 0,3] my [w: 0,3] [shake: 0,8] musi [w: 0,2] mieć bitwę kart."
GBC_NPC_SMELTERGREETING_781_F,,#VALUE!
GBC_NPC_SMELTERGREETING_REPEAT_#1_304_M,[t:0.5][e:Surprise][c:R]LET ME O-[shake:1][end],"[T: 0,5] [E: niespodzianka] [C: R] Let Me O- [Shake: 1] [End]"
GBC_NPC_SMELTERGREETING_REPEAT_#1_304_F,,#VALUE!
GBC_NPC_SMELTERGREETING_REPEAT_#1_932_M,"Yes,[w:0.3] yes,[w:0.3] again!","Tak, [W: 0.3] Tak, [W: 0,3] Znowu!"
GBC_NPC_SMELTERGREETING_REPEAT_#1_932_F,,#VALUE!
GBC_NPC_SMELTERGREETING_REPEAT_#2_325_M,Are we almost done?[w:0.3] You'll keep trying?,Czy prawie skończyliśmy? [W: 0.3] będziesz próbował?
GBC_NPC_SMELTERGREETING_REPEAT_#2_325_F,,#VALUE!
GBC_NPC_SMELTERGREETING_REPEAT_#2_084_M,"Yes,[w:0.3] very well.","Tak, [W: 0,3] Bardzo dobrze."
GBC_NPC_SMELTERGREETING_REPEAT_#2_084_F,,#VALUE!
GBC_NPC_SMELTERDEFEAT_969_M,[t:0.5][e:Surprise][c:R]HELP M[shake:1][end],"[T: 0,5] [E: niespodzianka] [C: R] Pomoc M [Shake: 1] [End]"
GBC_NPC_SMELTERDEFEAT_969_F,,#VALUE!
GBC_NPC_SMELTERDEFEAT_080_M,"Oh,[w:0.3] too bad![w:0.3] You lost!","Och, [W: 0.3] Szkoda! [W: 0,3] Zgubiłeś!"
GBC_NPC_SMELTERDEFEAT_080_F,,#VALUE!
GBC_NPC_SMELTERDEFEAT_050_M,[t:0.5][e:Surprise][c:R]PLEASE HELP[shake:1][end],"[T: 0,5] [E: niespodzianka] [C: R] Proszę pomóż [Shake: 1] [End]"
GBC_NPC_SMELTERDEFEAT_050_F,,#VALUE!
GBC_NPC_SMELTERDEFEAT_112_M,"Now please,[w:0.3] leave us-[w:0.2] leave [w:0.2][shake:0.8]me[w:0.3] to my work.","Teraz proszę, [w: 0,3] zostaw nas- [w: 0,2] opuść [w: 0,2] [Shake: 0,8] Me [w: 0,3] do mojej pracy."
GBC_NPC_SMELTERDEFEAT_112_F,,#VALUE!
GBC_NPC_SMELTERDEFEAT_REPEAT_#1_884_M,"Too bad,[w:0.3] so sad.[w:0.3] Off with you now.","Szkoda, [W: 0,3] Tak smutne. [W: 0,3] Teraz z tobą teraz."
GBC_NPC_SMELTERDEFEAT_REPEAT_#1_884_F,,#VALUE!
GBC_NPC_SMELTERDEFEAT_REPEAT_#2_068_M,Off with you now.,Teraz z tobą.
GBC_NPC_SMELTERDEFEAT_REPEAT_#2_068_F,,#VALUE!
GBC_NPC_SMELTERDEFEAT_REPEAT_#2_441_M,I have work to attend to.,"Mam pracę, w której można się zająć."
GBC_NPC_SMELTERDEFEAT_REPEAT_#2_441_F,,#VALUE!
GBC_NPC_SMELTERVICTORY_933_M,[t:0.5][e:Surprise][c:R]HELP ME[shake:1][end],"[T: 0,5] [E: niespodzianka] [C: R] Pomóż mi [Shake: 1] [End]"
GBC_NPC_SMELTERVICTORY_933_F,,#VALUE!
GBC_NPC_SMELTERVICTORY_934_M,"Excellent battle.[w:0.3] Now,[w:0.2] with that aside,[w:0.3] what did you come to tell me?","Doskonała bitwa. [W: 0,3] Teraz [w: 0,2] z tym na bok, [w: 0.3] Co mi powiedziałeś?"
GBC_NPC_SMELTERVICTORY_934_F,,#VALUE!
GBC_NPC_SMELTERVICTORY_619_M,P03 wishes for better bots for his scanner...[w:0.3] That is difficult.[w:0.3] You see...[w:0.3] I melt the metal.[w:0.3] But I cannot reprogram the stamping machine.,"P03 życzy lepszych botów dla jego skanera ... [w: 0.3] To trudne. [W: 0,3] Widzisz ... [W: 0,3] Roztopię metal. [W: 0,3] Ale nie mogę przeprogramować przeprogramowania The Stemplująca maszyna."
GBC_NPC_SMELTERVICTORY_619_F,,#VALUE!
GBC_NPC_SMELTERVICTORY_859_M,[t:0.5][e:Surprise][c:R]NO[shake:1][end],"[T: 0,5] [E: niespodzianka] [C: R] Brak [Shake: 1] [End]"
GBC_NPC_SMELTERVICTORY_859_F,,#VALUE!
GBC_NPC_SMELTERVICTORY_808_M,...[w:0.3]there is a way to send at least[w:0.3][shake:0.8] one[w:0.3] new bot down the line.,"... [w: 0,3] Istnieje sposób na wysłanie co najmniej [w: 0,3] [Shake: 0,8] jeden [w: 0,3] nowy bot w dół linii."
GBC_NPC_SMELTERVICTORY_808_F,,#VALUE!
GBC_NPC_SMELTERVICTORY_992_M,[t:0.5][e:Surprise][c:R]NO NO NO NO[shake:1][end],"[T: 0,5] [E: niespodzianka] [C: R] Nie Nie NO Nie [Shake: 1] [End]"
GBC_NPC_SMELTERVICTORY_992_F,,#VALUE!
GBC_NPC_SMELTERVICTORY_379_M,[t:0.5]HAHAHAHA![t:1][w:0.5][shake:1] YES![w:0.3] FOR P03!,"[T: 0,5] Hahahaha! [T: 1] [W: 0,5] [Shake: 1] Tak! [W: 0,3] dla P03!"
GBC_NPC_SMELTERVICTORY_379_F,,#VALUE!
GBC_NPC_DREDGERGREETING_650_M,"Oy,[w:0.3] mate.[w:0.3] I know what yer 'ere for.","Oy, [w: 0,3] Mate. [W: 0,3]"
GBC_NPC_DREDGERGREETING_650_F,,#VALUE!
GBC_NPC_DREDGERGREETING_162_M,Yer askin' me to take a dive.[w:0.3],"Prosisz mnie o nurkowanie. [W: 0,3]"
GBC_NPC_DREDGERGREETING_162_F,,#VALUE!
GBC_NPC_DREDGERGREETING_993_M,"But I can't accommodate ye, mate.[w:0.3]","Ale nie mogę pomieścić, kolego. [W: 0,3]"
GBC_NPC_DREDGERGREETING_993_F,,#VALUE!
GBC_NPC_DREDGERGREETING_481_M,"Got special orders,[w:0.3] innit?[w:0.3] Lookin' to dredge somefin' special.","Dostałem specjalne zamówienia, [w: 0,3] Innit? [W: 0.3] wyglądać na pogłębianie jakąś specjalną."
GBC_NPC_DREDGERGREETING_481_F,,#VALUE!
GBC_NPC_DREDGERGREETING_785_M,We can duel.[w:0.3] Aye.[w:0.3] Maybe even give ye somefin' if ye win.,"Możemy pojedynkować się. [W: 0,3] Aye. [W: 0,3] Może nawet daj ci trochę, jeśli wygrasz."
GBC_NPC_DREDGERGREETING_785_F,,#VALUE!
GBC_NPC_DREDGERGREETING_706_M,But I can't be takin' a dive.[w:0.3] P03 will unnerstan'.,"Ale nie mogę być nurkowaniem. [W: 0,3] P03 nie będzie się ”."
GBC_NPC_DREDGERGREETING_706_F,,#VALUE!
GBC_NPC_DREDGERGREETING_REPEAT_#1_168_M,"Oy,[w:0.3] ye wan't a rematch?","Oy, [w: 0,3] Nie czyż nie rewanż?"
GBC_NPC_DREDGERGREETING_REPEAT_#1_168_F,,#VALUE!
GBC_NPC_DREDGERGREETING_REPEAT_#1_213_M,I unnerstan'.,I Unstan '.
GBC_NPC_DREDGERGREETING_REPEAT_#1_213_F,,#VALUE!
GBC_NPC_DREDGERGREETING_REPEAT_#2_016_M,Yer not thinkin' ye can get me to jump?,"Nie myślisz, że nie możesz zmusić mnie do skakania?"
GBC_NPC_DREDGERGREETING_REPEAT_#2_016_F,,#VALUE!
GBC_NPC_DREDGERGREETING_REPEAT_#2_467_M,Nofin' you say or do can change me mind.,Nofin 'mówisz lub możesz mnie zmienić.
GBC_NPC_DREDGERGREETING_REPEAT_#2_467_F,,#VALUE!
GBC_NPC_DREDGERDEFEAT_891_M,"Right,[w:0.3] right.[w:0.3] Off with ye now.","Racja, [W: 0,3] Racja. [W: 0,3] WYŁ. Z tobą teraz."
GBC_NPC_DREDGERDEFEAT_891_F,,#VALUE!
GBC_NPC_DREDGERDEFEAT_REPEAT_#1_522_M,Off with ye now.,Teraz z tobą teraz.
GBC_NPC_DREDGERDEFEAT_REPEAT_#1_522_F,,#VALUE!
GBC_NPC_DREDGERDEFEAT_REPEAT_#2_644_M,"Enough of this now,[w:0.3] mate.","Dość tego teraz [W: 0,3] kolego."
GBC_NPC_DREDGERDEFEAT_REPEAT_#2_644_F,,#VALUE!
GBC_NPC_DREDGERDEFEAT_REPEAT_#3_460_M,"Lotta distractions,[w:0.3] eh mate?","Lotta rozproszenie uwagi, [w: 0,3] eh Mate?"
GBC_NPC_DREDGERDEFEAT_REPEAT_#3_460_F,,#VALUE!
GBC_NPC_DREDGERDEFEAT_REPEAT_#3_688_M,"Nofin' against yer deck but,[w:0.3] might not be up to the task.","Nofin 'przeciwko swojej talii, ale [w: 0.3] może nie być zgodne z zadaniem."
GBC_NPC_DREDGERDEFEAT_REPEAT_#3_688_F,,#VALUE!
GBC_NPC_DREDGERVICTORY_108_M,ere.[w:0.3] Take yer pack.,Ere. [W: 0.3] Weź swój pakiet.
GBC_NPC_DREDGERVICTORY_108_F,,#VALUE!
GBC_NPC_DREDGERVICTORY_REPEAT_#2_709_M,Still somefin' yer after?[w:0.3] I gave ye yer pack.,"Wciąż trochę się po? [W: 0,3] dałem ci paczkę."
GBC_NPC_DREDGERVICTORY_REPEAT_#2_709_F,,#VALUE!
GBC_NPC_DREDGERVICTORY_REPEAT_#3_843_M,Geroff.,Geroff.
GBC_NPC_DREDGERVICTORY_REPEAT_#3_843_F,,#VALUE!
GBC_NPC_P03GBCGREETING_080_M,The bots haven't gotten much better...[w:0.3] But you battled all of my workers?[w:0.3] And you actually won?,"Boty nie stały się znacznie lepsze ... [W: 0.3], ale walczyłeś z wszystkimi moimi pracownikami? [W: 0.3] i faktycznie wygrałeś?"
GBC_NPC_P03GBCGREETING_080_F,,#VALUE!
GBC_NPC_P03GBCGREETING_523_M,Gimme that deck again.,Daj mi znowu ten pokład.
GBC_NPC_P03GBCGREETING_523_F,,#VALUE!
GBC_NPC_P03GBCGREETING_412_M,Wow...[w:0.3] you beat them with[w:0.4] that?[w:0.3] Alright.,"Wow ... [w: 0.3] pokonałeś je [w: 0,4] to? [W: 0,3] w porządku."
GBC_NPC_P03GBCGREETING_412_F,,#VALUE!
GBC_NPC_P03GBCGREETING_478_M,Maybe there are some synergies that I missed.[w:0.3] Let's go then.,"Może jest kilka synergii, które przegapiłem. [W: 0.3] Chodźmy wtedy."
GBC_NPC_P03GBCGREETING_478_F,,#VALUE!
GBC_NPC_P03GBCGREETING_REPEAT_#1_969_M,The old Dredger wouldn't hop on the line?,Stary Dredger nie wskoczyłby na linię?
GBC_NPC_P03GBCGREETING_REPEAT_#1_969_F,,#VALUE!
GBC_NPC_P03GBCGREETING_REPEAT_#1_169_M,[shake:0.8][e:Quiet]Do not worry. That is acceptable.,"[Shake: 0,8] [E: Cicha] Nie martw się. To jest dopuszczalne."
GBC_NPC_P03GBCGREETING_REPEAT_#1_169_F,,#VALUE!
GBC_NPC_P03GBCGREETING_REPEAT_#1_840_M,Another battle?,Kolejna bitwa?
GBC_NPC_P03GBCGREETING_REPEAT_#1_840_F,,#VALUE!
GBC_NPC_P03GBCGREETING_REPEAT_#2_257_M,Again?,Ponownie?
GBC_NPC_P03GBCGREETING_REPEAT_#2_257_F,,#VALUE!
GBC_NPC_P03GBCDEFEAT_243_M,You opened the crates around the temple right?,"Otworzyłeś skrzynie wokół świątyni, prawda?"
GBC_NPC_P03GBCDEFEAT_243_F,,#VALUE!
GBC_NPC_P03GBCDEFEAT_739_M,You need better cards.,Potrzebujesz lepszych kart.
GBC_NPC_P03GBCDEFEAT_739_F,,#VALUE!
GBC_NPC_P03GBCDEFEAT_REPEAT_#1_270_M,A bad deck[w:0.3] with a bad pilot.,"Zły pokład [w: 0,3] ze złym pilotem."
GBC_NPC_P03GBCDEFEAT_REPEAT_#1_270_F,,#VALUE!
GBC_NPC_P03GBCDEFEAT_REPEAT_#1_655_M,"You don't expect to win that way,[w:0.3] do you?","Nie spodziewasz się, że wygrasz w ten sposób, [W: 0.3] Czy?"
GBC_NPC_P03GBCDEFEAT_REPEAT_#1_655_F,,#VALUE!
GBC_NPC_P03GBCDEFEAT_REPEAT_#2_738_M,You made a huge misplay on turn 2 that cost you the game.,"Zrobiłeś ogromną grupę w drugiej turze, która kosztowała grę."
GBC_NPC_P03GBCDEFEAT_REPEAT_#2_738_F,,#VALUE!
GBC_NPC_P03GBCDEFEAT_REPEAT_#3_593_M,I think it's your poor resource economy that's killing you.,"Myślę, że zabija cię twoja zła ekonomia zasobów."
GBC_NPC_P03GBCDEFEAT_REPEAT_#3_593_F,,#VALUE!
GBC_NPC_P03GBCDEFEAT_REPEAT_#4_023_M,Just...[w:0.3] get better cards.,Po prostu ... [W: 0.3] Zdobądź lepsze karty.
GBC_NPC_P03GBCDEFEAT_REPEAT_#4_023_F,,#VALUE!
GBC_BATTLE_DREDGERSURRENDER_830_M,"Know what,[w:0.3] mate,[w:0.3] can't take me eyes off me work 'ere.","Wiesz co, [w: 0.3] kolego, [w: 0.3] nie mogę mi oderwać od mnie pracy."
GBC_BATTLE_DREDGERSURRENDER_830_F,,#VALUE!
GBC_BATTLE_DREDGERSURRENDER_939_M,I'll give ye this 'un.,Dam ci to „UN.
GBC_BATTLE_DREDGERSURRENDER_939_F,,#VALUE!
GBC_NPC_DREDGERVICTORY2_701_M,Now off with ye.[w:0.2] I need'a concentrate.,"Teraz z tobą. [W: 0,2] Potrzebuję koncentratu."
GBC_NPC_DREDGERVICTORY2_701_F,,#VALUE!
GBC_NPC_DREDGERVICTORY2_982_M,[c:R][shake:1]OY![w:1][c:][w:0.3] is that[w:0.3]...?,"[C: R] [Shake: 1] Oy! [W: 1] [C:] [W: 0.3] Czy to [w: 0,3] ...?"
GBC_NPC_DREDGERVICTORY2_982_F,,#VALUE!
GBC_NPC_DREDGERVICTORY2_192_M,[c:F][t:1]P03's gonna reward me BIG for this 'un.,[C: F] [T: 1] P03 nagradza mnie wielkim za to „UN.
GBC_NPC_DREDGERVICTORY2_192_F,,#VALUE!
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_746_M,Oh.[w:0.4] Scanner's online.[w:0.4] Which card to scan...,"Och. [W: 0.4] Skanery online. [W: 0,4] Która karta do skanowania ..."
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_746_F,,#VALUE!
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_915_M,[t:1]Just kidding.[w:0.3][t:5] Obviously the one with the best stats.,"[T: 1] Żartuję. [W: 0,3] [T: 5] Oczywiście ten z najlepszymi statystykami."
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_915_F,,#VALUE!
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#1_741_M,Scanning time.[w:0.4] Show me your biggest creature.,Czas skanowania. [W: 0.4] Pokaż mi swoje największe stworzenie.
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#1_741_F,,#VALUE!
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#2_082_M,Scanner's online.[w:0.3] Let's see...[w:0.3] what has the best stats.,Scanner's Online. [W: 0.3] Zobaczmy ... [W: 0.3] Co ma najlepsze statystyki.
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#2_082_F,,#VALUE!
GBC_BATTLE_P03BOSSSCAN1_088_M,The stat line could be better.,Linia Stat może być lepsza.
GBC_BATTLE_P03BOSSSCAN1_088_F,,#VALUE!
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#1_305_M,Looks like this is the one...,"Wygląda na to, że to jeden ..."
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#1_305_F,,#VALUE!
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#2_013_M,Not too bad of a stat line I suppose.,"Przypuszczam, że nieźle z linii statystyk."
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#2_013_F,,#VALUE!
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#3_551_M,I hoped you would have played something better...,"Miałem nadzieję, że zagrasz coś lepszego ..."
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#3_551_F,,#VALUE!
GBC_BATTLE_P03BOSSSCAN2_472_M,Your move.,Twój ruch.
GBC_BATTLE_P03BOSSSCAN2_472_F,,#VALUE!
GBC_BATTLE_P03BOSSSCAN2_REPEAT_#1_303_M,This could work.,To może zadziałać.
GBC_BATTLE_P03BOSSSCAN2_REPEAT_#1_303_F,,#VALUE!
GBC_BATTLE_P03BOSSSCAN2_REPEAT_#2_238_M,Your go.,Twój idź.
GBC_BATTLE_P03BOSSSCAN2_REPEAT_#2_238_F,,#VALUE!
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_177_M,[t:1]Oh.[w:0.3] [t:5]You've only given me one choice...,"[T: 1] Oh. [W: 0,3] [T: 5] Dałeś mi tylko jeden wybór ..."
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_177_F,,#VALUE!
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#1_164_M,Oh.[w:0.3] There's[w:0.3] just one...,"Och. [W: 0.3] Jest [w: 0,3] tylko jeden ..."
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#1_164_F,,#VALUE!
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_769_M,Scanner's online.[w:0.3] What have we got here?,Scanner jest online. [W: 0.3] Co tu dostaliśmy?
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_769_F,,#VALUE!
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_365_M,You only left me one thing to scan?,Zostawiłeś mi tylko jedną rzecz do zeskanowania?
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_365_F,,#VALUE!
GBC_BATTLE_P03BOSSSCANNONE_451_M,Wow.,Wow.
GBC_BATTLE_P03BOSSSCANNONE_451_F,,#VALUE!
GBC_BATTLE_P03BOSSSCANNONE_149_M,You've left me nothing to scan whatsoever.,"Nie zostawiłeś mi nic, co mogłem skanować."
GBC_BATTLE_P03BOSSSCANNONE_149_F,,#VALUE!
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_576_M,Oh...[w:0.3] Something's wrong.,Och ... [W: 0.3] Coś jest nie tak.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_576_F,,#VALUE!
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_932_M,"It's your deck.[w:0.3] Or,[w:0.3] rather,[w:0.3] your lack of a valid one.","To twoja pokład. [W: 0,3] lub [w: 0,3] raczej [w: 0.3] twój brak ważnego."
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_932_F,,#VALUE!
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_305_M,"You've got 20 cards in it,[w:0.3] right?","Masz w sobie 20 kart, [w: 0.3], prawda?"
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_305_F,,#VALUE!
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_673_M,Hmm.[w:0.3] Your deck isn't right.,Hmm. [W: 0.3] Twoja talia nie jest w porządku.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_673_F,,#VALUE!
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_499_M,"You did add enough cards to it,[w:0.3] right?","Dodałeś do tego wystarczającą liczbę kart, [W: 0.3] prawda?"
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_499_F,,#VALUE!
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_177_M,20 should do.,20 powinien zrobić.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_177_F,,#VALUE!
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_285_M,You...[w:0.3] don't have enough cards in your deck.,Ty ... [W: 0.3] Nie masz wystarczającej liczby kart w swojej talii.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_285_F,,#VALUE!
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_323_M,You need 20.,Potrzebujesz 20.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_323_F,,#VALUE!
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_786_M,Oh.[w:0.3] Looks like we can't battle now.,"Och. [W: 0.3] Wygląda na to, że nie możemy teraz walczyć."
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_786_F,,#VALUE!
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_895_M,You're going to need to get that deck fixed.,Będziesz musiał naprawić tę talię.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_895_F,,#VALUE!
GBC_NPC_GHOULROYALINVALIDDECK_488_M,Arrr..[w:0.3] Something be wrong.,Arrr .. [w: 0.3] Coś jest nie tak.
GBC_NPC_GHOULROYALINVALIDDECK_488_F,,#VALUE!
GBC_NPC_GHOULROYALINVALIDDECK_133_M,Yer deck.[w:0.3] T'ain't right.,"Yer Deck. [W: 0,3] Nie prawda."
GBC_NPC_GHOULROYALINVALIDDECK_133_F,,#VALUE!
GBC_NPC_GHOULROYALINVALIDDECK_148_M,Return when ye've got 20 cards in it.,"Wróć, gdy masz 20 kart."
GBC_NPC_GHOULROYALINVALIDDECK_148_F,,#VALUE!
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_116_M,Hark![w:0.3] Yer deck again.,"Hark! [W: 0,3] znowu talia."
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_116_F,,#VALUE!
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_891_M,"Ye did add cards to it,[w:0.3] aye?","Dodałeś do niego karty, [w: 0.3] Aye?"
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_891_F,,#VALUE!
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_368_M,20 er so?,20 ER SO?
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_368_F,,#VALUE!
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#2_101_M,Hark...[w:0.3] Ye don't have enough cards in yer deck.,Hark ... [W: 0.3] Nie masz wystarczającej liczby kart w swoim pokładzie.
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#2_101_F,,#VALUE!
GBC_NPC_ANGLERNPCINVALIDDECK_712_M,Deck bad.,Zły pokład.
GBC_NPC_ANGLERNPCINVALIDDECK_712_F,,#VALUE!
GBC_NPC_ANGLERNPCINVALIDDECK_742_M,Need cards.[w:0.3] 20.,"Potrzebujesz kart. [W: 0,3] 20."
GBC_NPC_ANGLERNPCINVALIDDECK_742_F,,#VALUE!
GBC_NPC_PROSPECTORNPCINVALIDDECK_890_M,Well darn it all.[w:0.3] Yer deck ain't right!,"Cóż, do cholery. [W: 0.3] Yer Deck nie jest w porządku!"
GBC_NPC_PROSPECTORNPCINVALIDDECK_890_F,,#VALUE!
GBC_NPC_PROSPECTORNPCINVALIDDECK_467_M,Git ye at least 20 cards 'n it!,Git ye ​​co najmniej 20 kart i it!
GBC_NPC_PROSPECTORNPCINVALIDDECK_467_F,,#VALUE!
GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_133_M,Dag nab it.[w:0.3] Yer deck still ain't right.,"Dag Nab It. [W: 0,3] Yer Deck nadal nie jest w porządku."
GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_133_F,,#VALUE!
GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_006_M,At least 20 cards 'n it.[w:0.3] That oughtta do...,Co najmniej 20 kart.
GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_006_F,,#VALUE!
GBC_NPC_TRAPPERNPCINVALIDDECK_115_M,"Your deck doesn't have enough cards.[w:0.3] A shame,[w:0.1] that.","Twoja talia nie ma wystarczającej liczby kart. [W: 0.3] Szkoda, [w: 0.1] to."
GBC_NPC_TRAPPERNPCINVALIDDECK_115_F,,#VALUE!
